purchase_id,user_id,product_id,purchased_at,quantity,paid_price
PU00001,U0001,P0011,2025-12-20,1,25933
PU00002,U0001,P0011,2026-03-04,1,31312
PU00003,U0002,P0104,2025-12-15,1,27539
PU00004,U0002,P0104,2026-02-24,1,35609
PU00005,U0003,P0072,2025-11-19,1,49175
PU00006,U0003,P0072,2026-02-17,1,52819
PU00007,U0004,P0086,2025-11-07,1,23495
PU00008,U0004,P0086,2026-02-04,1,18308
PU00009,U0005,P0037,2025-10-16,1,36868
PU00010,U0005,P0037,2026-03-12,1,39357
PU00011,U0006,P0028,2025-12-12,1,13928
PU00012,U0006,P0028,2026-02-17,1,15389
PU00013,U0007,P0045,2025-10-21,1,10902
PU00014,U0007,P0045,2026-03-08,1,11474
PU00015,U0008,P0029,2025-11-07,1,16469
PU00016,U0008,P0029,2026-02-05,1,17424
PU00017,U0009,P0080,2025-10-14,1,25498
PU00018,U0009,P0080,2026-02-16,1,21183
PU00019,U0010,P0119,2025-10-08,1,46630
PU00020,U0010,P0119,2026-02-06,1,38240
PU00021,U0011,P0035,2025-10-03,1,38880
PU00022,U0011,P0035,2026-02-11,1,39242
PU00023,U0012,P0001,2025-12-08,1,36147
PU00024,U0012,P0001,2026-02-04,1,42059
PU00025,U0013,P0009,2025-12-13,1,19982
PU00026,U0013,P0009,2026-02-12,1,16668
PU00027,U0014,P0096,2025-10-25,1,10550
PU00028,U0014,P0096,2026-03-18,1,10792
PU00029,U0015,P0021,2025-11-14,1,54893
PU00030,U0015,P0021,2026-03-12,1,55708
PU00031,U0016,P0073,2025-10-16,1,25241
PU00032,U0016,P0073,2026-03-26,1,20511
PU00033,U0017,P0097,2025-10-13,1,28473
PU00034,U0017,P0097,2026-03-28,1,25358
PU00035,U0018,P0085,2025-11-07,1,42834
PU00036,U0018,P0085,2026-02-28,1,40543
PU00037,U0019,P0028,2025-10-27,1,13380
PU00038,U0019,P0028,2026-03-24,1,12443
PU00039,U0020,P0087,2025-10-06,1,10895
PU00040,U0020,P0087,2026-02-22,1,11459
PU00041,U0021,P0006,2025-12-03,1,42832
PU00042,U0021,P0006,2026-03-06,1,32838
PU00043,U0022,P0027,2025-11-23,1,44957
PU00044,U0022,P0027,2026-01-30,1,43921
PU00045,U0023,P0033,2025-11-24,1,31199
PU00046,U0023,P0033,2026-03-11,1,34973
PU00047,U0024,P0056,2025-12-09,1,20703
PU00048,U0024,P0056,2026-03-23,1,22684
PU00049,U0025,P0065,2025-10-21,1,26134
