product_id,category_id,product_name,brand,key_ingredients,concern_target,suitable_season,texture,volume_ml,volume_unit,price
P0001,C001,닥터자르트 딥토너,닥터자르트,효소|엘라스틴|글루타치온|콜라겐,미백|보습,all,워터리,171,ml,38500
P0002,C001,티르티르 리프레싱토너,티르티르,글리콜산|어성초|카올린|녹차추출물,미백|보습,all,에센스형,135,ml,43000
P0003,C001,구달 딥토너,구달,아스코르빈산|시카|황,진정|보습,all,미스트형,138,ml,35500
P0004,C001,에뛰드 소프트토너,에뛰드,트라넥삼산|병풀추출물|알파알부틴|시카,미백|보습,all,젤형,135,ml,24000
P0005,C001,조선미녀 비타민토너,조선미녀,글리콜산|아세틸헥사펩타이드|EGCG,보습|수분장벽,all,소프트워터,121,ml,19500
P0006,C001,토리든 활력토너,토리든,세라마이드|오트밀|시어버터|아젤라산,트러블|보습,spring,스킨워터,193,ml,43500
P0007,C001,마녀공장 보습토너,마녀공장,레티놀|TXA,트러블,spring,토닉,181,ml,44500
P0008,C001,아벤느 퓨어토너,아벤느,AHA|폴리글루타민산|만델산,각질|보습,summer,클리어워터,184,ml,15500
P0009,C001,AHC 장벽토너,AHC,EGF|판테놀|글루코노락톤|아젤라산,트러블,fall,워터리,153,ml,31500
P0010,C001,AHC 소프트토너,AHC,AHA|트라넥삼산|살리실산|아줄렌,진정|보습,winter,에센스형,113,ml,16000
P0011,C001,라로슈포제 미백토너,라로슈포제,알로에베라|PHA|판테놀,진정|보습,all,미스트형,175,ml,26500
P0012,C001,클리오 소프트토너,클리오,레스베라트롤|벤토나이트,트러블|모공,all,젤형,189,ml,25500
P0013,C001,코스알엑스 하이드로토너,코스알엑스,스테아린산|글리콜산,보습|수분장벽,all,소프트워터,128,ml,17500
P0014,C001,티르티르 트러블케어토너,티르티르,아스코르빈산|아데노신|페룰산|황,미백|보습,all,스킨워터,120,ml,22000
P0015,C001,아이소이 하이드로토너,아이소이,스테아린산|나이아신아마이드,각질|보습,all,토닉,173,ml,14500
P0016,C001,더마토리 퓨어토너,더마토리,판테놀|폴리글루타민산|아스코르빈산|나이아신아마이드,보습|수분장벽,spring,클리어워터,107,ml,39500
P0017,C001,피지오겔 글로우토너,피지오겔,레조르시놀|레티놀|베타글루칸,각질|보습,spring,워터리,135,ml,35000
P0018,C001,아누아 미백토너,아누아,카올린|BHA|트라넥삼산|세라마이드,진정|보습,summer,에센스형,137,ml,27500
P0019,C001,넘버즈인 딥토너,넘버즈인,스핑고신|카렌듈라|EGCG,트러블|모공,fall,미스트형,132,ml,25000
P0020,C001,스킨1004 아쿠아토너,스킨1004,리이오일|병풀추출물,보습|수분장벽,winter,젤형,152,ml,43500
P0021,C001,조선미녀 리페어토너,조선미녀,효소|글루타치온,트러블,all,소프트워터,191,ml,42000
P0022,C001,라운드랩 칼밍토너,라운드랩,비타민C|코엔자임Q10|만델산,트러블|보습,all,스킨워터,181,ml,33000
P0023,C001,라로슈포제 비타민토너,라로슈포제,아데노신|알란토인,트러블|모공,all,토닉,113,ml,13000
P0024,C001,조선미녀 딥토너,조선미녀,세라마이드|레티놀|나이아신아마이드|엘라스틴,보습|수분장벽,all,클리어워터,154,ml,29000
P0025,C001,바이오더마 비타민토너,바이오더마,비타민C|카렌듈라|소듐PCA,트러블|모공,all,워터리,200,ml,40500
P0026,C001,닥터지 장벽토너,닥터지,리이오일|티트리|BHA,트러블|보습,spring,에센스형,137,ml,26000
P0027,C001,스킨1004 장벽토너,스킨1004,지방산|스테아린산|살리실산,미백|보습,spring,미스트형,177,ml,20500
P0028,C001,마녀공장 클리어토너,마녀공장,BHA|만델산|아시아티코사이드|시어버터,트러블|보습,summer,젤형,193,ml,29000
P0029,C001,구달 활력토너,구달,레티놀|시어버터,트러블,fall,소프트워터,173,ml,25000
P0030,C001,더마토리 글로우토너,더마토리,위치하젤|비타민C,트러블|모공,winter,스킨워터,134,ml,32500
P0031,C001,세타필 비타민토너,세타필,BHA|마그놀리아추출물|아줄렌|알파알부틴,보습|수분장벽,all,토닉,123,ml,26500
P0032,C001,라로슈포제 아쿠아토너,라로슈포제,글루타치온|스테아린산|효소|페룰산,보습|수분장벽,all,클리어워터,149,ml,19500
P0033,C001,이니스프리 바이옴토너,이니스프리,알부틴|라놀린|시카,미백|보습,all,워터리,115,ml,28000
P0034,C001,에스트라 리프레싱토너,에스트라,리이오일|폴리글루타민산|아줄렌,보습,all,에센스형,119,ml,23000
P0035,C001,아벤느 트러블케어토너,아벤느,어성초|스테아린산|알로에베라|마데카소사이드,트러블,all,미스트형,168,ml,17500
P0036,C001,이니스프리 트러블케어토너,이니스프리,엘라스틴|판테놀,트러블,spring,젤형,166,ml,40000
P0037,C001,달바 클리어토너,달바,카렌듈라|카올린|EGCG|콜라겐,보습,spring,소프트워터,160,ml,41500
P0038,C001,마녀공장 비타민토너,마녀공장,트라넥삼산|글루코노락톤,진정|보습,summer,스킨워터,186,ml,12000
P0039,C001,티르티르 소프트토너,티르티르,글리콜산|트레할로스|EGCG,트러블,fall,토닉,131,ml,13500
P0040,C001,아벤느 클리어토너,아벤느,살리실산|스테아린산,트러블|모공,winter,클리어워터,165,ml,39500
P0041,C001,라운드랩 보습토너,라운드랩,BHA|코직산|트라넥삼산,각질|보습,all,워터리,153,ml,16500
P0042,C001,더마토리 클리어토너,더마토리,효소|레조르시놀|감초추출물,트러블,all,에센스형,182,ml,32000
P0043,C001,마녀공장 수분토너,마녀공장,아스코르빈산|스쿠알란|스핑고신|마그놀리아추출물,보습,all,미스트형,123,ml,24000
P0044,C001,닥터지 수분토너,닥터지,스테아린산|히알루론산,각질|보습,all,젤형,163,ml,44000
P0045,C001,아로마티카 진정토너,아로마티카,글루코노락톤|BHA,트러블|보습,all,소프트워터,132,ml,31500
P0046,C001,클리오 칼밍토너,클리오,카렌듈라|아스코르빈산|아세틸헥사펩타이드,보습|수분장벽,spring,스킨워터,142,ml,39000
P0047,C001,메디힐 클리어토너,메디힐,아세틸헥사펩타이드|스테아린산|TXA|시어버터,진정|보습,spring,토닉,134,ml,19500
P0048,C001,티르티르 아쿠아토너,티르티르,지방산|벤토나이트|스핑고신|아스코르빈산,각질|보습,summer,클리어워터,112,ml,21500
P0049,C001,비플레인 아쿠아토너,비플레인,알란토인|TXA,트러블|모공,fall,워터리,187,ml,32000
P0050,C001,에뛰드 장벽토너,에뛰드,히알루론산|피토스핑고신|스테아린산,미백|보습,winter,에센스형,183,ml,16000
P0051,C001,코스알엑스 트러블케어토너,코스알엑스,피토스핑고신|알부틴|벤토나이트,트러블|보습,all,미스트형,124,ml,39500
P0052,C001,아로마티카 하이드로토너,아로마티카,EGF|세라마이드|페룰산,트러블,all,젤형,175,ml,15000
P0053,C001,바이오더마 장벽토너,바이오더마,만델산|스핑고신|황|소듐PCA,보습|수분장벽,all,소프트워터,158,ml,29500
P0054,C001,스킨1004 리페어토너,스킨1004,리이오일|코직산,각질|보습,all,스킨워터,133,ml,25000
P0055,C001,스킨1004 비타민토너,스킨1004,감초추출물|알란토인,미백|보습,all,토닉,180,ml,18500
P0056,C001,비플레인 딥토너,비플레인,베타글루칸|오트밀|알란토인|아줄렌,트러블|모공,spring,클리어워터,156,ml,15000
P0057,C001,세타필 밸런싱토너,세타필,AHA|마데카소사이드|루이아이소류신|만델산,각질|보습,spring,워터리,137,ml,29000
P0058,C001,라네즈 칼밍토너,라네즈,만델산|어성초,보습,summer,에센스형,186,ml,32000
P0059,C001,피지오겔 진정토너,피지오겔,아스코르빈산|펩타이드,미백|보습,fall,미스트형,152,ml,35500
P0060,C001,아벤느 보습토너,아벤느,트레할로스|알파알부틴,보습,winter,젤형,121,ml,20000
P0061,C001,아누아 활력토너,아누아,살리실산|레조르시놀,보습|수분장벽,all,소프트워터,122,ml,26000
P0062,C001,미샤 딥토너,미샤,글리세린|알로에베라|감초추출물|카올린,트러블,all,스킨워터,124,ml,28500
P0063,C001,AHC 활력토너,AHC,EGF|병풀추출물|글루타치온,미백|보습,all,토닉,193,ml,12500
