search_id,user_id,search_keyword,searched_at,product_clicked
SH00001,U0001,토너패드,2026-04-14,P1560
SH00002,U0001,토너패드,2026-05-08,P1560
SH00003,U0001,토너패드,2026-05-20,P1560
SH00004,U0001,트리트먼트,2026-04-27,P0963
SH00005,U0001,트리트먼트,2026-05-12,P0963
SH00006,U0001,트리트먼트,2026-05-13,P0963
SH00007,U0001,쿠션,2026-04-29,P1178
SH00008,U0001,쿠션,2026-05-31,P1178
SH00009,U0001,앰플,2026-04-26,P1404
SH00010,U0001,앰플,2026-05-13,P1404
SH00011,U0001,에센스,2026-03-29,P0250
SH00012,U0001,에센스,2026-04-25,P0250
SH00013,U0002,앰플,2026-03-28,P1414
SH00014,U0002,앰플,2026-04-23,P1414
SH00015,U0002,앰플,2026-04-27,P1414
SH00016,U0002,수분크림,2026-04-29,P0482
SH00017,U0002,크림,2026-05-10,P0482
SH00018,U0002,립스틱,2026-04-14,P1796
SH00019,U0002,립스틱,2026-04-27,P1796
SH00020,U0003,아이섀도우,2026-05-05,P1275
SH00021,U0003,아이섀도우,2026-06-02,P1275
SH00022,U0003,마스크팩,2026-04-19,P0845
SH00023,U0003,마스크팩,2026-05-20,P0845
SH00024,U0003,마스크팩,2026-05-16,P0845
SH00025,U0004,쿠션,2026-04-01,P1155
SH00026,U0004,쿠션,2026-04-15,P1155
SH00027,U0004,쿠션,2026-04-14,P1155
SH00028,U0005,수분크림,2026-05-09,P0499
SH00029,U0005,크림,2026-06-02,P0499
SH00030,U0005,쿠션,2026-04-23,P1162
SH00031,U0005,쿠션,2026-05-18,P1162
SH00032,U0005,쿠션,2026-05-04,P1162
SH00033,U0005,아이크림,2026-04-14,P1499
SH00034,U0005,아이크림,2026-05-13,P1499
SH00035,U0005,아이크림,2026-04-23,P1499
SH00036,U0005,에센스,2026-04-05,P0191
SH00037,U0005,에센스,2026-04-17,P0191
SH00038,U0006,아이크림,2026-04-11,P1440
SH00039,U0006,아이크림,2026-05-16,P1440
